,index,title,domestic_gross,foreign_gross,release_date,genres,vote_average,popularity,worldwide_gross,production_budget,genre1,genre2,genre3
6171,5040,Stargate - The Ark of Truth,0.0,0.0,2008-03-11,,,,0.0,7000000.0,,,
6172,5041,Alpha & Omega: The Legend of the Saw Tooth Cave,0.0,0.0,2015-09-01,,,,0.0,7000000.0,,,
6173,5042,Pale Rider,41410568.0,82821136.0,1985-06-28,,,,41410568.0,6900000.0,,,
6174,5043,House at the End of the Street,31611916.0,75715898.0,2012-09-21,"Drama,Horror,Thriller",,,44103982.0,6900000.0,Drama,Horror,Thriller
6175,5044,Dazed and Confused,7950889.0,15901778.0,1993-09-24,,,,7950889.0,6900000.0,,,
6176,5045,Two Lovers and a Bear,0.0,22273.0,2017-01-31,"Adventure,Drama,Romance",,,22273.0,6840000.0,Adventure,Drama,Romance
6177,5046,Incendies,6857096.0,22895439.0,2010-09-17,"Drama,Mystery,War",,,16038343.0,6800000.0,Drama,Mystery,War
6178,5047,AimÃ©e & Jaguar,927107.0,1854214.0,2000-08-11,,,,927107.0,6800000.0,,,
6179,5048,The Chumscrubber,49526.0,99052.0,2005-08-05,,,,49526.0,6800000.0,,,
6180,5049,Shade,25032.0,9558996.0,2004-04-09,,,,9533964.0,6800000.0,,,
6181,5050,Bran Nue Dae,113568.0,6926098.0,2010-09-10,,,,6812530.0,6750000.0,,,
6182,5051,"Remember Me, My Love",223878.0,447756.0,2004-09-03,,,,223878.0,6700000.0,,,
6183,5052,Perrierâ??s Bounty,828.0,1656.0,2010-05-21,,,,828.0,6600000.0,,,
6184,5053,Tropa de Elite,8744.0,14327939.0,2008-09-19,,,,14319195.0,6537890.0,,,
6185,5054,Annabelle,84273813.0,341136733.0,2014-10-03,"Horror,Mystery,Thriller",,,256862920.0,6500000.0,Horror,Mystery,Thriller
6186,5055,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781.0,135993880.0,2008-02-01,,,,70712099.0,6500000.0,,,
6187,5056,Boyz n the Hood,56190094.0,112405189.0,1991-07-12,,,,56215095.0,6500000.0,,,
6188,5057,La Bamba,54215416.0,108430832.0,1987-07-24,,,,54215416.0,6500000.0,,,
6189,5058,The Four Seasons,42488161.0,84976322.0,1981-05-22,,,,42488161.0,6500000.0,,,
6190,5059,Dressed to Kill,31899000.0,63798000.0,1980-01-01,,,,31899000.0,6500000.0,,,
6191,5060,The Adventures of Huck Finn,24103594.0,48207188.0,1993-04-02,"Adventure,Family",,,24103594.0,6500000.0,Adventure,Family,
6192,5061,Go!,16875273.0,45258714.0,1999-04-09,,,,28383441.0,6500000.0,,,
6193,5062,Friends with Money,13368437.0,31478589.0,2006-04-07,,,,18110152.0,6500000.0,,,
6194,5063,The Andromeda Strain,12376563.0,24753126.0,1971-01-01,,,,12376563.0,6500000.0,,,
6195,5064,Bats,10155691.0,20311382.0,1999-10-22,,,,10155691.0,6500000.0,,,
6196,5065,Same Kind of Different as Me,6423605.0,12847210.0,2017-10-20,"Biography,Drama",,,6423605.0,6500000.0,Biography,Drama,
6197,5066,Nowhere in Africa,6173485.0,12346970.0,2003-03-07,,,,6173485.0,6500000.0,,,
6198,5067,Shame,4002293.0,24415134.0,2011-12-02,Drama,,,20412841.0,6500000.0,Drama,,
6199,5069,Layer Cake,2339957.0,14085888.0,2005-05-13,,,,11745931.0,6500000.0,,,
6200,5070,The East,2274649.0,5302605.0,2013-05-31,"Adventure,Drama,Thriller",,,3027956.0,6500000.0,Adventure,Drama,Thriller
6201,5071,The Work and the Glory: American Zion,2025032.0,4050064.0,2005-10-21,,,,2025032.0,6500000.0,,,
6202,5072,The Messenger,1109660.0,2854612.0,2009-11-13,Drama,,,1744952.0,6500000.0,Drama,,
6203,5078,A Home at the End of the World,1029017.0,2062827.0,2004-07-23,,,,1033810.0,6500000.0,,,
6204,5079,Aberdeen,64148.0,128296.0,2001-08-17,Family,,,64148.0,6500000.0,Family,,
6205,5081,Tracker,0.0,3149.0,2011-12-31,"Action,Adventure,Drama",,,3149.0,6500000.0,Action,Adventure,Drama
6206,5082,The Terminator,38019031.0,116038062.0,1984-10-26,,,,78019031.0,6400000.0,,,
6207,5083,"Good Bye, Lenin!",4063859.0,83448398.0,2004-02-27,,,,79384539.0,6400000.0,,,
6208,5084,Control,871577.0,9773718.0,2007-10-10,"Action,Crime,Drama",,,8902141.0,6400000.0,Action,Crime,Drama
6209,5089,The Damned United,449865.0,4649739.0,2009-10-09,,,,4199874.0,6400000.0,,,
6210,5090,Die FÃ¤lscher,5488570.0,25688233.0,2008-02-22,,,,20199663.0,6250000.0,,,
6211,5091,Return of the Living Dead Part II,9205924.0,18411848.0,1988-01-15,,,,9205924.0,6200000.0,,,
6212,5092,Gomorra,1579146.0,38918740.0,2009-02-13,,,,37339594.0,6200000.0,,,
6213,5093,Mallrats,2108367.0,4216734.0,1995-10-20,,,,2108367.0,6100000.0,,,
6214,5094,Grease,181813770.0,569323949.0,1978-06-16,,,,387510179.0,6000000.0,,,
6215,5095,Platoon,137963328.0,275941723.0,1986-12-19,,,,137978395.0,6000000.0,,,
6216,5096,Fahrenheit 9/11,119114517.0,340263476.0,2004-06-23,,,,221148959.0,6000000.0,,,
6217,5097,Butch Cassidy and the Sundance Kid,102308900.0,204619553.0,1969-10-24,,,,102310653.0,6000000.0,,,
6218,5098,Mary Poppins,102272145.0,204544290.0,1964-08-26,,,,102272145.0,6000000.0,,,
6219,5099,Ordinary People,52302978.0,104605956.0,1980-09-19,Drama,,,52302978.0,6000000.0,Drama,,
6220,5101,Breaking In,46840590.0,98252210.0,2018-05-11,"Action,Crime,Drama",,,51411620.0,6000000.0,Action,Crime,Drama
6221,5102,West Side Story,43700000.0,87400000.0,1961-10-18,"Crime,Drama,Musical",,,43700000.0,6000000.0,Crime,Drama,Musical
6222,5104,Caddyshack,39846344.0,79692688.0,1980-07-25,,,,39846344.0,6000000.0,,,
6223,5105,The Brothers,27457409.0,55415600.0,2001-03-23,,,,27958191.0,6000000.0,,,
6224,5106,The Wrestler,26238243.0,72872518.0,2008-12-17,,,,46634275.0,6000000.0,,,
6225,5107,Do the Right Thing,26004026.0,52008052.0,1989-06-30,,,,26004026.0,6000000.0,,,
6226,5108,Escape from New York,25244700.0,50490625.0,1981-07-10,,,,25245925.0,6000000.0,,,
6227,5109,The Wood,25059640.0,50119280.0,1999-07-16,,,,25059640.0,6000000.0,,,
6228,5110,The Usual Suspects,23341568.0,57790924.0,1995-08-16,,,,34449356.0,6000000.0,,,
6229,5111,A Nightmare On Elm Street: The Dream Child,22168359.0,44336718.0,1989-08-11,,,,22168359.0,6000000.0,,,
6230,5112,National Lampoonâ??s Van Wilder,21305259.0,60546582.0,2002-04-05,,,,39241323.0,6000000.0,,,
6231,5113,Duel in the Sun,20400000.0,40800000.0,1946-12-31,,,,20400000.0,6000000.0,,,
6232,5114,Best in Show,18621249.0,39316662.0,2000-09-27,,,,20695413.0,6000000.0,,,
6233,5115,Unplanned,18107621.0,36215242.0,2019-03-29,"Biography,Drama",,,18107621.0,6000000.0,Biography,Drama,
6234,5116,The Last King of Scotland,17606684.0,66762055.0,2006-09-27,,,,49155371.0,6000000.0,,,
6235,5117,A Mighty Wind,17583468.0,36088007.0,2003-04-16,,,,18504539.0,6000000.0,,,
6236,5118,The Prodigy,14856291.0,34646003.0,2019-02-08,"Horror,Thriller",,,19789712.0,6000000.0,Horror,Thriller,
6237,5119,The Possession of Hannah Grace,14836174.0,57621561.0,2018-11-30,"Horror,Mystery,Thriller",,,42785387.0,6000000.0,Horror,Mystery,Thriller
6238,5120,School Daze,14545844.0,29091688.0,1988-02-12,,,,14545844.0,6000000.0,,,
6239,5121,Daddy Day Camp,13235267.0,31445139.0,2007-08-08,,,,18209872.0,6000000.0,,,
6240,5122,Mystic Pizza,12793213.0,25586426.0,1988-10-21,,,,12793213.0,6000000.0,,,
6241,5123,Mr. Nice Guy,12716953.0,44433906.0,1998-03-20,,,,31716953.0,6000000.0,,,
6242,5124,War and Peace,12500000.0,25024028.0,1956-08-21,,,,12524028.0,6000000.0,,,
6243,5125,Sliding Doors,11911200.0,70720349.0,1998-04-24,,,,58809149.0,6000000.0,,,
6244,5126,Tales from the Hood,11784569.0,23569138.0,1995-05-24,,,,11784569.0,6000000.0,,,
6245,5127,Halloween 5: The Revenge of Michael Myers,11642254.0,23284508.0,1989-10-13,,,,11642254.0,6000000.0,,,
6246,5128,The Words,11494838.0,27864546.0,2012-09-07,"Drama,Mystery,Romance",,,16369708.0,6000000.0,Drama,Mystery,Romance
6247,5129,The Lady in the Van,10021175.0,52341678.0,2016-01-15,"Biography,Comedy,Drama",,,42320503.0,6000000.0,Biography,Comedy,Drama
6248,5130,Bernie,9204489.0,19311464.0,2012-04-27,"Biography,Comedy,Crime",,,10106975.0,6000000.0,Biography,Comedy,Crime
6249,5132,Pollock,8596914.0,19154205.0,2000-12-15,,,,10557291.0,6000000.0,,,
6250,5133,Dolphins and Whales Tribes of the Ocean 3D,7714996.0,24967283.0,2008-02-15,,,,17252287.0,6000000.0,,,
6251,5134,200 Cigarettes,6852450.0,13704900.0,1999-02-26,,,,6852450.0,6000000.0,,,
6252,5135,City Island,6671283.0,14844769.0,2010-03-19,,,,8173486.0,6000000.0,,,
6253,5136,Casa de mi Padre,5909483.0,14356435.0,2012-03-16,"Comedy,Western",,,8446952.0,6000000.0,Comedy,Western,
6254,5137,The Guard,5359774.0,26557228.0,2011-07-29,"Comedy,Crime,Thriller",,,21197454.0,6000000.0,Comedy,Crime,Thriller
6255,5138,The Virgin Suicides,4859475.0,15479245.0,2000-04-21,,,,10619770.0,6000000.0,,,
6256,5139,College,4694491.0,10870605.0,2008-08-29,,,,6176114.0,6000000.0,,,
6257,5140,La science des rÃªves,4670644.0,19808576.0,2006-09-22,,,,15137932.0,6000000.0,,,
6258,5141,Little Voice,4595000.0,26382233.0,1998-12-04,"Horror,Thriller",,,21787233.0,6000000.0,Horror,Thriller,
6259,5142,Miss March,4543320.0,9256379.0,2009-03-13,,,,4713059.0,6000000.0,,,
6260,5143,Simply Irresistible,4398989.0,8797978.0,1999-02-05,,,,4398989.0,6000000.0,,,
6261,5144,Wish I Was Here,3591299.0,10182664.0,2014-07-18,"Comedy,Drama",,,6591365.0,6000000.0,Comedy,Drama,
6262,5145,Venus,3347411.0,11165890.0,2006-12-21,Documentary,,,7818479.0,6000000.0,Documentary,,
6263,5147,Veronica Mars,3322127.0,6807510.0,2014-03-14,"Crime,Drama,Mystery",,,3485383.0,6000000.0,Crime,Drama,Mystery
6264,5148,Only the Strong,3273588.0,6547176.0,1993-08-27,,,,3273588.0,6000000.0,,,
6265,5149,Hedwig and the Angry Inch,3067312.0,6807342.0,2001-07-20,,,,3740030.0,6000000.0,,,
6266,5150,Shattered Glass,2207975.0,5664577.0,2003-10-31,Drama,,,3456602.0,6000000.0,Drama,,
6267,5151,The Wackness,2077046.0,5407058.0,2008-07-03,,,,3330012.0,6000000.0,,,
6268,5152,Novocaine,2025238.0,4548166.0,2001-11-16,,,,2522928.0,6000000.0,,,
6269,5153,Polytechnique,1418304.0,2836608.0,2009-02-06,,,,1418304.0,6000000.0,,,
6270,5154,Snow Flower and the Secret Fan,1348205.0,12696410.0,2011-07-15,"Drama,History",,,11348205.0,6000000.0,Drama,History,
6271,5155,Mandy,1214525.0,2642181.0,2018-09-14,"Drama,Thriller",,,1427656.0,6000000.0,Drama,Thriller,
6272,5157,The Business of Strangers,1030920.0,2321840.0,2001-12-07,,,,1290920.0,6000000.0,,,
6273,5158,JÃ»san-nin no shikaku,802778.0,19530218.0,2011-04-29,,,,18727440.0,6000000.0,,,
6274,5159,Beastmaster 2: Through the Portal of Time,773490.0,1546980.0,1991-08-30,,,,773490.0,6000000.0,,,
6275,5160,The Wild Bunch,509424.0,1018848.0,1969-06-18,,,,509424.0,6000000.0,,,
6276,5161,The 5th Quarter,408159.0,816318.0,2011-03-25,"Biography,Drama,Sport",,,408159.0,6000000.0,Biography,Drama,Sport
6277,5162,The First Great Train Robbery,391942.0,783884.0,1979-02-02,,,,391942.0,6000000.0,,,
6278,5163,Morvern Callar,267194.0,534388.0,2002-12-20,,,,267194.0,6000000.0,,,
6279,5164,The Flower of Evil,181798.0,363596.0,2003-10-10,,,,181798.0,6000000.0,,,
6280,5165,Akmareul Boatda,129210.0,13298019.0,2011-03-04,,,,13168809.0,6000000.0,,,
6281,5166,Come Early Morning,119452.0,238904.0,2006-11-10,,,,119452.0,6000000.0,,,
6282,5167,The Greatest,115862.0,233658.0,2010-04-02,,,,117796.0,6000000.0,,,
6283,5168,Deadfall,66351.0,1739986.0,2012-12-07,"Crime,Drama,Thriller",,,1673635.0,6000000.0,Crime,Drama,Thriller
6284,5169,Julia,65108.0,1430216.0,2009-05-08,"Horror,Thriller",,,1365108.0,6000000.0,Horror,Thriller,
6285,5171,Lucky Break,54606.0,4371103.0,2002-04-05,,,,4316497.0,6000000.0,,,
6286,5172,"Surfer, Dude",36497.0,72994.0,2008-09-05,,,,36497.0,6000000.0,,,
6287,5173,Song One,32251.0,469340.0,2015-01-23,"Drama,Music",,,437089.0,6000000.0,Drama,Music,
6288,5174,Lake of Fire,25317.0,51324.0,2007-10-03,"Drama,Family,Romance",,,26007.0,6000000.0,Drama,Family,Romance
6289,5175,Don McKay,13722.0,27444.0,2010-04-02,,,,13722.0,6000000.0,,,
6290,5176,11:14,0.0,0.0,2005-08-12,,,,0.0,6000000.0,,,
6291,5177,Icarus,0.0,0.0,2010-02-09,"Documentary,Sport,Thriller",,,0.0,6000000.0,Documentary,Sport,Thriller
6292,5180,Men of War,0.0,0.0,1995-12-19,,,,0.0,6000000.0,,,
6293,5181,A Shine of Rainbows,0.0,0.0,2011-03-15,,,,0.0,6000000.0,,,
6294,5182,Freaky Deaky,0.0,0.0,2011-12-31,"Comedy,Crime,Thriller",,,0.0,6000000.0,Comedy,Crime,Thriller
6295,5183,The Hit List,0.0,0.0,2011-05-10,"Action,Thriller",,,0.0,6000000.0,Action,Thriller,
6296,5184,Videodrome,2120439.0,4240878.0,1983-02-04,,,,2120439.0,5952000.0,,,
6297,5185,Emma,22231658.0,60063316.0,1996-08-02,Thriller,,,37831658.0,5900000.0,Thriller,,
6298,5189,L\'auberge espagnole,3895664.0,7791328.0,2003-03-21,,,,3895664.0,5900000.0,,,
6299,5191,The Train,6800000.0,13600000.0,1965-03-07,Drama,,,6800000.0,5800000.0,Drama,,
6300,5192,Winter in Wartime,542860.0,10205074.0,2011-03-18,,,,9662214.0,5800000.0,,,
6301,5193,Foolproof,230312.0,651333.0,2003-10-03,,,,421021.0,5800000.0,,,
6302,5194,Trade of Innocents,15091.0,30182.0,2012-10-05,"Drama,Thriller",,,15091.0,5800000.0,Drama,Thriller,
6303,5195,Tom yum goong,12044087.0,55088174.0,2006-09-08,,,,43044087.0,5700000.0,,,
6304,5196,Stiff Upper Lips,69582.0,139164.0,1999-08-27,,,,69582.0,5700000.0,,,
6305,5197,The Inbetweeners,35955.0,86087275.0,2012-09-07,,,,86051320.0,5700000.0,,,
6306,5198,Valhalla Rising,30638.0,762251.0,2010-07-16,,,,731613.0,5700000.0,,,
6307,5199,Bend it Like Beckham,32543449.0,107109491.0,2003-03-12,,,,74566042.0,5600000.0,,,
6308,5200,Crossover,7009668.0,14019336.0,2006-09-01,,,,7009668.0,5600000.0,,,
6309,5201,Sunshine State,3064356.0,6346254.0,2002-06-21,,,,3281898.0,5600000.0,,,
6310,5202,Standing Ovation,531806.0,1063612.0,2010-07-16,Musical,,,531806.0,5600000.0,Musical,,
6311,5203,Khiladi 786,385422.0,15069185.0,2012-12-07,"Action,Comedy",,,14683763.0,5600000.0,Action,Comedy,
6312,5204,[Rec] 2,27766.0,18555532.0,2010-07-09,,,,18527766.0,5600000.0,,,
6313,5205,The Sting,159616327.0,319232654.0,1973-12-25,,,,159616327.0,5500000.0,,,
6314,5206,Chariots of Fire,61558162.0,123424109.0,1981-09-25,,,,61865947.0,5500000.0,,,
6315,5207,Diary of a Mad Black Woman,50406346.0,100864702.0,2005-02-25,,,,50458356.0,5500000.0,,,
6316,5208,Shine,35811509.0,72484002.0,1996-11-22,"Drama,Music",,,36672493.0,5500000.0,Drama,Music,
6317,5209,Don Jon,24477704.0,65746283.0,2013-09-27,"Comedy,Drama,Romance",,,41268579.0,5500000.0,Comedy,Drama,Romance
6318,5210,High Plains Drifter,15700000.0,31400000.0,1973-08-22,,,,15700000.0,5500000.0,,,
6319,5211,Hell Fest,11107431.0,29226662.0,2018-09-28,Horror,,,18119231.0,5500000.0,Horror,,
6320,5212,Mambo Italiano,9282750.0,21682522.0,2003-06-06,,,,12399772.0,5500000.0,,,
6321,5213,Ghost World,6217849.0,14979457.0,2001-07-20,,,,8761608.0,5500000.0,,,
6322,5214,Iris,5580479.0,11160958.0,2001-12-14,"Drama,Family,History",,,5580479.0,5500000.0,Drama,Family,History
6323,5218,Galaxina,4865000.0,9730000.0,1980-06-06,,,,4865000.0,5500000.0,,,
6324,5219,Les Choristes,3629758.0,87159516.0,2004-11-26,,,,83529758.0,5500000.0,,,
6325,5220,Wonderland,1060512.0,2121024.0,2003-10-03,,,,1060512.0,5500000.0,,,
6326,5228,De battre mon coeur s'est arrÃªtÃ©,1023424.0,9613255.0,2005-07-01,,,,8589831.0,5500000.0,,,
6327,5229,Haevnen,1008098.0,16875412.0,2011-04-01,,,,15867314.0,5500000.0,,,
6328,5230,Le Havre,611709.0,14091905.0,2011-10-21,"Comedy,Drama",,,13480196.0,5500000.0,Comedy,Drama,
6329,5231,Harvard Man,56653.0,113306.0,2002-05-17,,,,56653.0,5500000.0,,,
6330,5232,Salvation Boulevard,28468.0,56936.0,2011-07-15,"Action,Comedy,Drama",,,28468.0,5500000.0,Action,Comedy,Drama
6331,5233,R100,24956.0,49912.0,2015-01-23,"Comedy,Drama",,,24956.0,5500000.0,Comedy,Drama,
6332,5234,Miss Julie,0.0,863895.0,2015-05-05,"Drama,Romance",,,863895.0,5500000.0,Drama,Romance,
